"Idex"	"I"	"I"	"I"	"O"
808	15.66	18.5	0.6	13.25
809	13.25	15.66	2.7	12.37
810	12.37	13.25	0.1	10.62
811	10.62	12.37	0	9.22
812	9.22	10.62	0	8.35
813	8.35	9.22	0.5	7.83
814	7.83	8.35	0.3	7.55
815	7.55	7.83	0.5	6.9
816	6.9	7.55	0.3	6.48
817	6.48	6.9	0.1	6.01
818	6.01	6.48	0.1	5.65
819	5.65	6.01	0	5.35
820	5.35	5.65	0	4.99
821	4.99	5.35	0	4.98
822	4.98	4.99	0.3	4.7
823	4.7	4.98	0	4.55
824	4.55	4.7	0.2	4.29
825	4.29	4.55	0.4	4.16
826	4.16	4.29	0.2	4
827	4	4.16	0	3.83
828	3.83	4	0.1	3.88
829	3.88	3.83	0	3.72
830	3.72	3.88	0.2	3.59
831	3.59	3.72	0.6	3.63
832	3.63	3.59	6.5	3.5
833	3.5	3.63	0.1	3.59
834	3.59	3.5	0	3.33
835	3.33	3.59	9.9	3.43
836	3.43	3.33	1.1	3.94
837	3.94	3.43	2	3.88
838	3.88	3.94	0.1	3.81
839	3.81	3.88	2.5	3.69
840	3.69	3.81	0	3.77
841	3.77	3.69	0.4	3.66
842	3.66	3.77	5.9	3.74
843	3.74	3.66	0.5	4.14
844	4.14	3.74	23.8	7.9
845	7.9	4.14	0.8	17.74
846	17.74	7.9	0.5	14.67
847	14.67	17.74	3.5	11.39
848	11.39	14.67	0.1	9.18
849	9.18	11.39	0	7.93
850	7.93	9.18	0	6.84
851	6.84	7.93	0.8	6.18
852	6.18	6.84	0.3	5.76
853	5.76	6.18	2.5	5.43
854	5.43	5.76	7.1	5.37
855	5.37	5.43	0.2	5.37
856	5.37	5.37	2.6	5.74
857	5.74	5.37	18.4	7.69
858	7.69	5.74	1.4	12.04
859	12.04	7.69	6.2	10.95
860	10.95	12.04	4.5	11.28
861	11.28	10.95	0.4	9.26
862	9.26	11.28	0.6	7.84
863	7.84	9.26	0.1	7
864	7	7.84	0.6	6.12
865	6.12	7	2.3	5.73
866	5.73	6.12	0.7	5.32
867	5.32	5.73	0.9	4.86
868	4.86	5.32	0.8	4.69
869	4.69	4.86	3.3	5.32
870	5.32	4.69	15.9	24.42
871	24.42	5.32	4.5	12.37
872	12.37	24.42	3.5	10.06
873	10.06	12.37	14.6	13.47
874	13.47	10.06	1.6	16.2
875	16.2	13.47	0	12.48
876	12.48	16.2	2.2	10.73
877	10.73	12.48	8.5	9.62
878	9.62	10.73	0	7.94
879	7.94	9.62	0	6.45
880	6.45	7.94	0	5.56
881	5.56	6.45	0	5.41
882	5.41	5.56	6.3	4.73
883	4.73	5.41	11	6.92
884	6.92	4.73	0	6.83
885	6.83	6.92	0	4.81
886	4.81	6.83	0.1	4.2
887	4.2	4.81	0.4	3.85
888	3.85	4.2	0	3.76
889	3.76	3.85	3.6	3.46
890	3.46	3.76	0.6	2.69
891	2.69	3.46	3.5	3.16
892	3.16	2.69	3	3.15
893	3.15	3.16	3.7	3.34
894	3.34	3.15	0.8	2.98
895	2.98	3.34	0	2.85
896	2.85	2.98	0.3	2.65
897	2.65	2.85	10.5	2.11
898	2.11	2.65	9.2	2.59
899	2.59	2.11	0	2.96
900	2.96	2.59	0	2.93
901	2.93	2.96	1	2.18
902	2.18	2.93	2.4	2.1
903	2.1	2.18	0	2.17
904	2.17	2.1	0	1.87
905	1.87	2.17	1.2	1.66
906	1.66	1.87	1.5	2.61
907	2.61	1.66	1.1	1.96
908	1.96	2.61	4.7	1.99
909	1.99	1.96	3.2	2.01
910	2.01	1.99	0	2.01
911	2.01	2.01	0.4	1.8
912	1.8	2.01	11.1	2.01
913	2.01	1.8	11.2	2.78
914	2.78	2.01	3.4	1.99
915	1.99	2.78	0.9	2.07
916	2.07	1.99	1.7	1.99
917	1.99	2.07	0.5	1.9
918	1.9	1.99	1.4	1.71
919	1.71	1.9	10.7	1.84
920	1.84	1.71	5.3	2.81
921	2.81	1.84	0.9	2.1
922	2.1	2.81	2.1	2.04
923	2.04	2.1	6.6	1.93
924	1.93	2.04	0.2	1.84
925	1.84	1.93	0	1.52
926	1.52	1.84	0.1	1.32
927	1.32	1.52	2.8	2.39
928	2.39	1.32	1	1.69
929	1.69	2.39	5.4	1.75
930	1.75	1.69	1	1.71
931	1.71	1.75	1.6	1.84
932	1.84	1.71	0.4	1.73
933	1.73	1.84	0.3	1.07
934	1.07	1.73	0.5	2.27
935	2.27	1.07	1.1	1.49
936	1.49	2.27	7	1.71
937	1.71	1.49	1.4	1.68
938	1.68	1.71	0	1.97
939	1.97	1.68	0.1	1.4
940	1.4	1.97	0	0.82
941	0.82	1.4	0	1.95
942	1.95	0.82	0	1.08
943	1.08	1.95	0	1.34
944	1.34	1.08	4.6	1.31
945	1.31	1.34	1.2	1.37
946	1.37	1.31	0.4	1.3
947	1.3	1.37	0	1.08
948	1.08	1.3	0	1.47
949	1.47	1.08	0.8	1.23
950	1.23	1.47	0.5	1.26
951	1.26	1.23	0.6	1.22
952	1.22	1.26	3.6	1.29
953	1.29	1.22	14.9	1.25
954	1.25	1.29	1.9	2.62
955	2.62	1.25	0	2.7
956	2.7	2.62	4.9	1.97
957	1.97	2.7	0.8	1.59
958	1.59	1.97	0.4	1.53
959	1.53	1.59	2	1.42
960	1.42	1.53	1.9	1.23
961	1.23	1.42	2.3	1.28
962	1.28	1.23	4.8	1.46
963	1.46	1.28	12.8	1.77
964	1.77	1.46	4.7	2.44
965	2.44	1.77	2.4	1.92
966	1.92	2.44	9.3	1.86
967	1.86	1.92	11.4	1.81
968	1.81	1.86	2.2	1.82
969	1.82	1.81	0.1	1.81
970	1.81	1.82	0	1.6
971	1.6	1.81	0	1.4
972	1.4	1.6	0.2	1.34
973	1.34	1.4	0.4	1.34
974	1.34	1.34	14.2	1.73
975	1.73	1.34	35	15.33
976	15.33	1.73	6.2	12.04
977	12.04	15.33	13.2	12.04
978	12.04	12.04	19.7	48.5
979	48.5	12.04	0.8	17.41
980	17.41	48.5	0	10.16
981	10.16	17.41	0	7.36
982	7.36	10.16	0	5.91
983	5.91	7.36	0	4.69
984	4.69	5.91	0.5	4.2
985	4.2	4.69	4.5	3.85
986	3.85	4.2	16.3	4.08
987	4.08	3.85	11.4	6.09
988	6.09	4.08	0	10.89
989	10.89	6.09	0	8.45
990	8.45	10.89	0	6.32
991	6.32	8.45	0	5.23
992	5.23	6.32	0	4.39
993	4.39	5.23	0	3.85
994	3.85	4.39	0	3.5
995	3.5	3.85	0.1	3.13
996	3.13	3.5	0	3.13
997	3.13	3.13	0	2.87
998	2.87	3.13	0.5	2.7
999	2.7	2.87	1.8	2.55
1000	2.55	2.7	0	2.5
1001	2.5	2.55	0	2.45
1002	2.45	2.5	0.2	2.4
1003	2.4	2.45	19.8	3.13
1004	3.13	2.4	6.5	3.71
1005	3.71	3.13	0.7	3.31
1006	3.31	3.71	0.6	2.91
1007	2.91	3.31	3	2.7
1008	2.7	2.91	0.1	2.59
1009	2.59	2.7	0	2.35
1010	2.35	2.59	0	2.35
1011	2.35	2.35	0	2.35
1012	2.35	2.35	0	2.31
1013	2.31	2.35	0.2	2.11
1014	2.11	2.31	0	2.11
1015	2.11	2.11	0.2	1.94
1016	1.94	2.11	0.3	1.9
1017	1.9	1.94	1.9	2.07
1018	2.07	1.9	11.7	2.11
1019	2.11	2.07	0.6	2.07
1020	2.07	2.11	0	2.07
1021	2.07	2.07	0	1.98
1022	1.98	2.07	0	1.94
1023	1.94	1.98	8.4	1.73
1024	1.73	1.94	0	1.94
1025	1.94	1.73	0	2.26
1026	2.26	1.94	0	2.21
1027	2.21	2.26	0	2.11
1028	2.11	2.21	4.7	2.07
1029	2.07	2.11	2.4	2.21
1030	2.21	2.07	19.7	2.59
1031	2.59	2.21	0	14.67
1032	14.67	2.59	0	9.88
1033	9.88	14.67	0	7.23
1034	7.23	9.88	0	5.8
1035	5.8	7.23	0	5.67
1036	5.67	5.8	1	4.39
1037	4.39	5.67	0.9	3.83
1038	3.83	4.39	0	3.59
1039	3.59	3.83	0	3.25
1040	3.25	3.59	0	3.13
1041	3.13	3.25	0	3.02
1042	3.02	3.13	0.5	2.81
1043	2.81	3.02	0	2.65
1044	2.65	2.81	0	2.45
1045	2.45	2.65	0.1	2.55
1046	2.55	2.45	4.5	2.5
1047	2.5	2.55	0.1	2.45
1048	2.45	2.5	0	2.31
1049	2.31	2.45	0.1	2.35
1050	2.35	2.31	9	11.28
1051	11.28	2.35	37.6	7.36
1052	7.36	11.28	0.6	4.58
1053	4.58	7.36	0.1	3.36
1054	3.36	4.58	0.3	3.02
1055	3.02	3.36	0.2	2.91
1056	2.91	3.02	0.1	2.81
1057	2.81	2.91	0	2.81
1058	2.81	2.81	0	3.25
1059	3.25	2.81	7.3	66.35
1060	66.35	3.25	29.7	108.39
1061	108.39	66.35	0	30.55
1062	30.55	108.39	0	21.9
1063	21.9	30.55	21.8	75.11
1064	75.11	21.9	0	40.29
1065	40.29	75.11	0.8	23.65
1066	23.65	40.29	5.5	17.85
1067	17.85	23.65	6.9	14.34
1068	14.34	17.85	0.1	12.04
1069	12.04	14.34	0	10.24
1070	10.24	12.04	0.5	9.53
1071	9.53	10.24	2.4	9.53
1072	9.53	9.53	0	8.87
1073	8.87	9.53	0	8.21
1074	8.21	8.87	0.3	7.42
1075	7.42	8.21	0.3	6.96
1076	6.96	7.42	0	6.83
1077	6.83	6.96	0	6.45
1078	6.45	6.83	0	5.74
1079	5.74	6.45	0	5.54
1080	5.54	5.74	0.3	5.61
1081	5.61	5.54	0.1	5.34
1082	5.34	5.61	0.2	5.41
1083	5.41	5.34	0.1	5.54
1084	5.54	5.41	0.1	4.64
1085	4.64	5.54	6.9	4.71
1086	4.71	4.64	0.8	4.58
1087	4.58	4.71	0	4.58
1088	4.58	4.58	0	4.2
1089	4.2	4.58	0	4.14
1090	4.14	4.2	0.4	4.32
1091	4.32	4.14	1.8	4.77
1092	4.77	4.32	0	4.96
1093	4.96	4.77	0	4.89
1094	4.89	4.96	4.4	5.09
1095	5.09	4.89	0	4.96
1096	4.96	5.09	0	4.51
1097	4.51	4.96	0	4.64
1098	4.64	4.51	0.6	4.71
1099	4.71	4.64	0	4.39
1100	4.39	4.71	0	4.39
1101	4.39	4.39	11.8	5.41
1102	5.41	4.39	3	6.57
1103	6.57	5.41	0	7.62
1104	7.62	6.57	0	6.96
1105	6.96	7.62	0	6.77
1106	6.77	6.96	0	6.38
1107	6.38	6.77	0	5.87
1108	5.87	6.38	0.6	5.67
1109	5.67	5.87	1.8	5.28
1110	5.28	5.67	7.1	5.61
1111	5.61	5.28	2.5	10.17
1112	10.17	5.61	0.2	12.04
1113	12.04	10.17	0.1	9.53
1114	9.53	12.04	0	8.54
1115	8.54	9.53	1.8	8.15
1116	8.15	8.54	2.8	7.49
1117	7.49	8.15	5.3	7.49
1118	7.49	7.49	22.8	10.24
1119	10.24	7.49	5.2	48.61
1120	48.61	10.24	0	30.55
1121	30.55	48.61	0	19.49
1122	19.49	30.55	0	15.55
1123	15.55	19.49	0	12.81
1124	12.81	15.55	0.2	16.2
1125	16.2	12.81	20.9	38.32
1126	38.32	16.2	0.1	21.13
1127	21.13	38.32	0.1	15.88
1128	15.88	21.13	0	12.81
1129	12.81	15.88	0	11.61
1130	11.61	12.81	0	12.04
1131	12.04	11.61	0	12.48
1132	12.48	12.04	0.5	12.48
1133	12.48	12.48	2.4	12.04
1134	12.04	12.48	6.3	12.04
1135	12.04	12.04	3.7	17.85
1136	17.85	12.04	0	19.05
1137	19.05	17.85	0.8	16.64
1138	16.64	19.05	0.3	15.55
1139	15.55	16.64	10.6	21.9
1140	21.9	15.55	0	18.28
1141	18.28	21.9	0	15.11
1142	15.11	18.28	0	13.14
1143	13.14	15.11	0	11.61
1144	11.61	13.14	0	10.6
1145	10.6	11.61	0	9.53
1146	9.53	10.6	0	8.87
1147	8.87	9.53	4	8.21
1148	8.21	8.87	0.2	7.82
1149	7.82	8.21	2	7.36
1150	7.36	7.82	1.5	7.29
1151	7.29	7.36	0.3	6.77
1152	6.77	7.29	0.1	6.63
1153	6.63	6.77	10	8.54
1154	8.54	6.63	0.1	10.95
1155	10.95	8.54	0	9.88
1156	9.88	10.95	0	8.87
1157	8.87	9.88	0	8.54
1158	8.54	8.87	1	8.54
1159	8.54	8.54	25.8	20.37
1160	20.37	8.54	2.7	22.77
1161	22.77	20.37	0.2	16.2
1162	16.2	22.77	0	13.58
1163	13.58	16.2	0	12.04
1164	12.04	13.58	2.1	12.48
1165	12.48	12.04	11.1	17.85
1166	17.85	12.48	0.6	26.17
1167	26.17	17.85	0.3	21.13
1168	21.13	26.17	0	17.85
1169	17.85	21.13	0	15.55
1170	15.55	17.85	1.3	15.11
1171	15.11	15.55	0	14.01
1172	14.01	15.11	0	11.61
1173	11.61	14.01	0	10.24
1174	10.24	11.61	0.4	9.53
1175	9.53	10.24	7	13.47
1176	13.47	9.53	22.6	54.09
1177	54.09	13.47	0.2	31.42
1178	31.42	54.09	2.5	21.9
1179	21.9	31.42	8.5	19.49
1180	19.49	21.9	1.6	19.05
1181	19.05	19.49	0.1	16.2
1182	16.2	19.05	0.1	14.34
1183	14.34	16.2	0.1	12.81
1184	12.81	14.34	0.4	12.04
1185	12.04	12.81	9.4	12.81
1186	12.81	12.04	7	15.88
1187	15.88	12.81	8.3	18.28
1188	18.28	15.88	0	21.13
1189	21.13	18.28	17.1	41.28
1190	41.28	21.13	3	31.42
1191	31.42	41.28	0.2	22.77
1192	22.77	31.42	0	17.41
1193	17.41	22.77	0.2	14.67
1194	14.67	17.41	0	12.04
1195	12.04	14.67	0	10.73
1196	10.73	12.04	0	9.42
1197	9.42	10.73	0	8.76
1198	8.76	9.42	0	8.87
1199	8.87	8.76	8.5	8.76
1200	8.76	8.87	0.7	7.23
1201	7.23	8.76	0	7.12
1202	7.12	7.23	0.1	6.79
1203	6.79	7.12	3.9	6.79
1204	6.79	6.79	0	6.79
1205	6.79	6.79	0.8	6.57
1206	6.57	6.79	2.9	6.57
1207	6.57	6.57	1.2	6.35
1208	6.35	6.57	1.1	6.13
1209	6.13	6.35	0	6.02
1210	6.02	6.13	2.8	6.02
1211	6.02	6.02	8.2	6.35
1212	6.35	6.02	9.1	9.85
1213	9.85	6.35	0.3	10.95
1214	10.95	9.85	0.1	9.85
1215	9.85	10.95	0	8.54
1216	8.54	9.85	0	7.45
1217	7.45	8.54	1.4	10.95
1218	10.95	7.45	22.5	17.52
1219	17.52	10.95	0.2	15.33
1220	15.33	17.52	0	9.85
1221	9.85	15.33	0	8.21
1222	8.21	9.85	0	7.23
1223	7.23	8.21	0.1	7.03
1224	7.03	7.23	0.2	6.32
1225	6.32	7.03	0	5.74
1226	5.74	6.32	0.3	5.28
1227	5.28	5.74	0.4	5.28
1228	5.28	5.28	3.6	5.03
1229	5.03	5.28	0.4	5.99
1230	5.99	5.03	11.4	5.61
1231	5.61	5.99	0.1	5.87
1232	5.87	5.61	0	5.41
1233	5.41	5.87	1.2	4.71
1234	4.71	5.41	3.2	4.71
1235	4.71	4.71	5.1	4.64
1236	4.64	4.71	0.6	4.46
1237	4.46	4.64	0.1	4.02
1238	4.02	4.46	0	3.71
1239	3.71	4.02	0	3.48
1240	3.48	3.71	1.4	3.25
1241	3.25	3.48	13.7	3.95
1242	3.95	3.25	6.3	5.67
1243	5.67	3.95	4.7	5.41
1244	5.41	5.67	0	4.83
1245	4.83	5.41	1.2	4.14
1246	4.14	4.83	6.5	3.66
1247	3.66	4.14	16.8	8.89
1248	8.89	3.66	16.1	20.37
1249	20.37	8.89	0.1	12.81
1250	12.81	20.37	12.7	15.55
1251	15.55	12.81	25.4	41.28
1252	41.28	15.55	0.6	22.77
1253	22.77	41.28	0	14.34
1254	14.34	22.77	0.3	10.24
1255	10.24	14.34	0.3	8.54
1256	8.54	10.24	0	7.1
1257	7.1	8.54	0	6.19
1258	6.19	7.1	0.6	5.47
1259	5.47	6.19	0.1	5.47
1260	5.47	5.47	6.4	5.28
1261	5.28	5.47	3.7	5.54
1262	5.54	5.28	0	5.03
1263	5.03	5.54	1.4	4.14
1264	4.14	5.03	6.6	4.14
1265	4.14	4.14	3.1	3.9
1266	3.9	4.14	2.1	4.64
1267	4.64	3.9	13.4	4.58
1268	4.58	4.64	2.1	4.2
1269	4.2	4.58	5.6	3.83
1270	3.83	4.2	0.2	3.36
1271	3.36	3.83	0	3.13
1272	3.13	3.36	4.8	2.97
1273	2.97	3.13	0.6	2.81
1274	2.81	2.97	0	2.7
1275	2.7	2.81	0	2.35
1276	2.35	2.7	0	2.35
1277	2.35	2.35	0.1	2.45
1278	2.45	2.35	2.2	2.45
1279	2.45	2.45	10.8	2.45
1280	2.45	2.45	7.8	2.55
1281	2.55	2.45	6.5	2.7
1282	2.7	2.55	2.2	2.4
1283	2.4	2.7	9	11.61
1284	11.61	2.4	9.7	4.46
1285	4.46	11.61	1.7	3.83
1286	3.83	4.46	6.6	4.39
1287	4.39	3.83	1.6	3.25
1288	3.25	4.39	0.1	2.87
1289	2.87	3.25	0	2.26
1290	2.26	2.87	0.6	2.4
1291	2.4	2.26	5.5	2.81
1292	2.81	2.4	5.4	2.55
1293	2.55	2.81	1	3.66
1294	3.66	2.55	0	4.14
1295	4.14	3.66	3.5	3.08
1296	3.08	4.14	1.5	2.5
1297	2.5	3.08	1.4	2.35
1298	2.35	2.5	0	2.31
1299	2.31	2.35	0	2.7
1300	2.7	2.31	0.2	2.26
1301	2.26	2.7	0.2	1.9
1302	1.9	2.26	0.9	2.03
1303	2.03	1.9	0	1.78
1304	1.78	2.03	1.6	1.9
1305	1.9	1.78	4.9	2.16
1306	2.16	1.9	0.6	2.07
1307	2.07	2.16	0	1.99
1308	1.99	2.07	0.8	1.95
1309	1.95	1.99	2.5	1.86
1310	1.86	1.95	6.2	1.63
1311	1.63	1.86	7.1	1.7
1312	1.7	1.63	0.7	2.21
1313	2.21	1.7	0.4	1.86
1314	1.86	2.21	1	2.31
1315	2.31	1.86	1.6	1.78
1316	1.78	2.31	0.1	1.78
1317	1.78	1.78	2.6	1.24
1318	1.24	1.78	0	1.35
1319	1.35	1.24	0.4	1.74
1320	1.74	1.35	1.2	1.66
1321	1.66	1.74	0	1.52
1322	1.52	1.66	0	1.52
1323	1.52	1.52	0	1.52
1324	1.52	1.52	0	1.29
1325	1.29	1.52	0	1.41
1326	1.41	1.29	9.9	1.66
1327	1.66	1.41	5.1	1.63
1328	1.63	1.66	0	1.59
1329	1.59	1.63	0	1.55
1330	1.55	1.59	0	1.49
1331	1.49	1.55	0.5	1.35
1332	1.35	1.49	8.6	1.49
1333	1.49	1.35	0.6	1.59
1334	1.59	1.49	0	1.49
1335	1.49	1.59	0	1.41
1336	1.41	1.49	7.2	1.35
1337	1.35	1.41	1	1.31
1338	1.31	1.35	0	1.24
1339	1.24	1.31	0.4	1.26
1340	1.26	1.24	0	1.38
1341	1.38	1.26	0	1.31
1342	1.31	1.38	0	1.52
1343	1.52	1.31	0.1	1.17
1344	1.17	1.52	25.5	1.26
1345	1.26	1.17	0.6	1.49
1346	1.49	1.26	0	1.49
1347	1.49	1.49	0	1.59
1348	1.59	1.49	0	1.55
1349	1.55	1.59	0	1.38
1350	1.38	1.55	0	1.29
1351	1.29	1.38	0	1.31
1352	1.31	1.29	0.1	1.15
1353	1.15	1.31	1.4	1.15
1354	1.15	1.15	0	1.49
1355	1.49	1.15	0.1	1.24
1356	1.24	1.49	0	1.26
1357	1.26	1.24	1.4	1.17
1358	1.17	1.26	0.4	1.2
1359	1.2	1.17	0	0.92
1360	0.92	1.2	0	1.02
1361	1.02	0.92	0.1	1.38
1362	1.38	1.02	0	1.2
1363	1.2	1.38	0	1.24
1364	1.24	1.2	0	1.26
1365	1.26	1.24	0.2	1.2
1366	1.2	1.26	0.2	0.96
1367	0.96	1.2	11.7	1.38
1368	1.38	0.96	0	1.55
1369	1.55	1.38	0.8	1.38
1370	1.38	1.55	0	1.29
1371	1.29	1.38	0.2	1.24
1372	1.24	1.29	0	1.35
1373	1.35	1.24	0	1.02
1374	1.02	1.35	0	1.2
1375	1.2	1.02	0	1.46
1376	1.46	1.2	0.8	1.35
1377	1.35	1.46	0.1	1.24
1378	1.24	1.35	0	1.17
1379	1.17	1.24	0.1	1.2
1380	1.2	1.17	0.1	1.12
1381	1.12	1.2	0	1.1
1382	1.1	1.12	0	1.38
1383	1.38	1.1	0.1	1.31
1384	1.31	1.38	4	1.2
1385	1.2	1.31	0	1.17
1386	1.17	1.2	0	1.2
1387	1.2	1.17	0	1.1
1388	1.1	1.2	1.6	1.12
1389	1.12	1.1	0	1.38
1390	1.38	1.12	0.1	1.17
1391	1.17	1.38	5.1	1.41
1392	1.41	1.17	25.1	1.55
1393	1.55	1.41	5.7	1.82
1394	1.82	1.55	4.4	1.66
1395	1.66	1.82	0	1.49
1396	1.49	1.66	0	1.59
1397	1.59	1.49	4.3	1.7
1398	1.7	1.59	19.3	1.78
1399	1.78	1.7	0.1	3.42
1400	3.42	1.78	0	2.65
1401	2.65	3.42	0	1.63
1402	1.63	2.65	0	1.63
1403	1.63	1.63	0	1.63
1404	1.63	1.63	0.4	1.55
1405	1.55	1.63	2.2	1.49
1406	1.49	1.55	0.1	1.41
1407	1.41	1.49	4.2	1.41
1408	1.41	1.41	0.2	1.2
1409	1.2	1.41	0.1	1.29
1410	1.29	1.2	0.1	1.49
1411	1.49	1.29	0	1.35
1412	1.35	1.49	0	1.26
1413	1.26	1.35	0.1	1.2
1414	1.2	1.26	0.6	1.2
1415	1.2	1.2	0.8	1.2
1416	1.2	1.2	6.3	1.31
1417	1.31	1.2	2.9	1.42
1418	1.42	1.31	0	1.31
1419	1.31	1.42	0	1.2
1420	1.2	1.31	0	1.2
1421	1.2	1.2	0	1.2
1422	1.2	1.2	0	1.2
1423	1.2	1.2	0	1.2
1424	1.2	1.2	0	1.31
1425	1.31	1.2	26.3	2.19
1426	2.19	1.31	0.3	7.22
1427	7.22	2.19	0.2	6.32
1428	6.32	7.22	2.3	4.71
1429	4.71	6.32	2.2	3.83
1430	3.83	4.71	0.4	3.54
1431	3.54	3.83	0	3.02
1432	3.02	3.54	0.1	2.7
1433	2.7	3.02	0.2	2.55
1434	2.55	2.7	0.1	2.5
1435	2.5	2.55	14.4	2.55
1436	2.55	2.5	2	2.51
1437	2.51	2.55	0.3	4.77
1438	4.77	2.51	0.3	5.22
1439	5.22	4.77	9.3	3.83
1440	3.83	5.22	0.4	3.25
1441	3.25	3.83	22.8	5.34
1442	5.34	3.25	2.5	17.63
1443	17.63	5.34	0	21.13
1444	21.13	17.63	0	12.04
1445	12.04	21.13	0	8.87
1446	8.87	12.04	0.4	7.42
1447	7.42	8.87	0.1	6.83
1448	6.83	7.42	0	6.83
1449	6.83	6.83	0	5.99
1450	5.99	6.83	0.2	5.74
1451	5.74	5.99	3.4	6.32
1452	6.32	5.74	0	6.77
1453	6.77	6.32	0.3	7.69
1454	7.69	6.77	5.5	7.23
1455	7.23	7.69	1.2	7.55
1456	7.55	7.23	17.8	9.2
1457	9.2	7.55	0.8	15.11
1458	15.11	9.2	0.2	12.81
1459	12.81	15.11	0	9.88
1460	9.88	12.81	0	8.54
1461	8.54	9.88	1.3	10.24
1462	10.24	8.54	10.6	25.62
1463	25.62	10.24	0.8	18.28
1464	18.28	25.62	0	12.81
1465	12.81	18.28	0	10.24
1466	10.24	12.81	0.1	8.87
1467	8.87	10.24	1.2	8.08
1468	8.08	8.87	0.1	7.49
1469	7.49	8.08	2.4	7.03
1470	7.03	7.49	3.3	6.83
1471	6.83	7.03	0.1	6.38
1472	6.38	6.83	0.3	6.12
1473	6.12	6.38	0	5.93
1474	5.93	6.12	11.5	7.03
1475	7.03	5.93	0.1	10.95
1476	10.95	7.03	0	9.2
1477	9.2	10.95	1.6	9.2
1478	9.2	9.2	7.5	10.24
1479	10.24	9.2	13.4	15.88
1480	15.88	10.24	3.5	19.93
1481	19.93	15.88	0.1	16.64
1482	16.64	19.93	0	12.81
1483	12.81	16.64	0	10.6
1484	10.6	12.81	0	9.2
1485	9.2	10.6	0.1	8.87
1486	8.87	9.2	23.6	23.43
1487	23.43	8.87	3.2	45.33
1488	45.33	23.43	0.1	23.65
1489	23.65	45.33	0.1	16.64
1490	16.64	23.65	0	13.14
1491	13.14	16.64	0	10.95
1492	10.95	13.14	0	9.53
1493	9.53	10.95	0	8.87
1494	8.87	9.53	1.6	7.95
1495	7.95	8.87	0	7.29
1496	7.29	7.95	0	6.77
1497	6.77	7.29	0.1	6.25
1498	6.25	6.77	0.7	6.12
1499	6.12	6.25	14.5	6.9
1500	6.9	6.12	1.5	11.28
1501	11.28	6.9	0	11.28
1502	11.28	11.28	0	10.24
1503	10.24	11.28	0.1	9.2
1504	9.2	10.24	0	8.21
1505	8.21	9.2	0	7.29
1506	7.29	8.21	0	6.77
1507	6.77	7.29	0	6.57
1508	6.57	6.77	0	6.06
1509	6.06	6.57	0	5.67
1510	5.67	6.06	0	5.41
1511	5.41	5.67	0	5.22
1512	5.22	5.41	0.1	5.22
1513	5.22	5.22	8.2	4.96
1514	4.96	5.22	3.2	5.16
1515	5.16	4.96	3.5	5.16
1516	5.16	5.16	2.7	5.87
1517	5.87	5.16	0	6.96
1518	6.96	5.87	0	7.29
1519	7.29	6.96	0	7.16
1520	7.16	7.29	0	6.83
1521	6.83	7.16	0	6.77
1522	6.77	6.83	12.4	13.14
1523	13.14	6.77	17.2	94.27
1524	94.27	13.14	0.2	33.39
1525	33.39	94.27	1.1	21.13
1526	21.13	33.39	0.2	16.2
1527	16.2	21.13	0	12.81
1528	12.81	16.2	0.4	11.28
1529	11.28	12.81	0.1	9.88
1530	9.88	11.28	3.9	10.95
1531	10.95	9.88	16.6	21.9
1532	21.9	10.95	0.2	19.05
1533	19.05	21.9	0	15.55
1534	15.55	19.05	3.5	14.01
1535	14.01	15.55	7.2	15.88
1536	15.88	14.01	2.7	17.08
1537	17.08	15.88	0	14.67
1538	14.67	17.08	0	12.48
1539	12.48	14.67	3.4	11.28
1540	11.28	12.48	0.6	10.24
1541	10.24	11.28	0.2	9.2
1542	9.2	10.24	0	8.87
1543	8.87	9.2	0.3	8.21
1544	8.21	8.87	11.8	10.24
1545	10.24	8.21	0.3	11.28
1546	11.28	10.24	0.1	9.53
1547	9.53	11.28	1.1	10.24
1548	10.24	9.53	16.9	16.64
1549	16.64	10.24	0.3	18.28
1550	18.28	16.64	0.2	14.34
1551	14.34	18.28	0	12.04
1552	12.04	14.34	0	10.24
1553	10.24	12.04	0.2	9.53
1554	9.53	10.24	0	8.54
1555	8.54	9.53	0.1	7.82
1556	7.82	8.54	11.2	9.53
1557	9.53	7.82	12.4	18.61
1558	18.61	9.53	3.4	21.9
1559	21.9	18.61	0.8	17.41
1560	17.41	21.9	0	14.01
1561	14.01	17.41	0	11.61
1562	11.61	14.01	0	10.6
1563	10.6	11.61	0	9.53
1564	9.53	10.6	0	8.54
1565	8.54	9.53	0	7.95
1566	7.95	8.54	6	8.87
1567	8.87	7.95	18.7	15.88
1568	15.88	8.87	15.8	34.38
1569	34.38	15.88	11.4	48.61
1570	48.61	34.38	25.5	125.91
1571	125.91	48.61	8.6	104.34
1572	104.34	125.91	0	43.25
1573	43.25	104.34	0	35.36
1574	35.36	43.25	0	21.9
1575	21.9	35.36	0	17.85
1576	17.85	21.9	0	15.11
1577	15.11	17.85	0.5	14.01
1578	14.01	15.11	18.6	15.55
1579	15.55	14.01	1.3	17.41
1580	17.41	15.55	0	13.58
1581	13.58	17.41	0	12.48
1582	12.48	13.58	6	12.04
1583	12.04	12.48	10.2	14.67
1584	14.67	12.04	22.6	57.48
1585	57.48	14.67	1.5	42.26
